cu_id,tenure,cu_size,cu_type,rooms,baths,annual_expenses,inc_rank,race,educ,welfare,ssi,food_stamps,weight,hispanic,rooms_person,married_couple,single_dad,single_mom,college,received_food_stamps,received_welfare,received_ssi,ownes_with_mortgage,ownes_w_out_mortgage,rents,black,white,annual_exp_equiv
0509060,2,2,1,8,3,50196,0.3929025,1,16,0,0,0,26119.639,0,4,1,0,0,1,0,0,0,0,1,0,0,1,35493.93198843994
0509062,4,1,8,4,1,12744,0.1721292,1,12,0,0,0,31322.547,0,4,0,0,0,0,0,0,0,0,0,1,0,1,12744
0509063,1,1,8,5,2,79024.0004,0.8078622,1,15,0,0,0,14867.2,0,5,0,0,0,1,0,0,0,1,0,0,0,1,79024.0004
0509066,1,2,1,6,2,40665.4,0.0230266,1,11,0,0,0,24110.107,0,3,1,0,0,0,0,0,0,1,0,0,0,1,28754.78009966343
0509067,4,3,5,3,2,237778.9996,0.366922,1,12,0,0,0,40674.356,1,1,0,0,0,0,0,0,0,0,0,1,0,1,137281.76942669993
0509069,1,3,7,5,2,63044.4,0.4946149,1,15,0,0,0,7821.42,0,1.6666666666666667,0,0,1,1,0,0,0,1,0,0,0,1,36398.70131089845
0509070,1,2,1,5,2,23409.9996,0.8408796,1,15,0,0,0,36241.411,0,2.5,1,0,0,1,0,0,0,1,0,0,0,1,16553.369464734362
0509072,4,1,8,5,1,36357.0004,0.1960407,1,12,0,0,0,30428.019,0,5,0,0,0,0,0,0,0,0,0,1,0,1,36357.0004
0509076,4,2,1,6,2,94832,0.1557492,1,16,0,0,0,25582.207,0,3,1,0,0,1,0,0,0,0,0,1,0,1,67056.35027348268
0509078,2,1,8,9,1,58556,0.244015,1,15,0,0,0,18255.113,0,9,0,0,0,1,0,0,0,0,1,0,0,1,58556
0509082,2,2,1,6,1,56772,0.3552695,1,12,0,0,0,28399.537,0,3,1,0,0,0,0,0,0,0,1,0,0,1,40143.86618152267
0509083,4,3,7,3,1,37065.8,0.2538769,6,13,0,0,0,19121.724,1,1,0,0,1,0,0,0,0,0,0,1,0,0,21399.949607728835
0509084,2,2,1,7,1,70220,0.4408812,1,15,0,0,0,23515.052,0,3.5,1,0,0,1,0,0,0,0,1,0,0,1,49653.03817491936
0509085,4,1,8,2,1,13380,0.1828378,1,12,0,0,0,56566.261,0,2,0,0,0,0,0,0,0,0,0,1,0,1,13380
0509090,4,2,1,5,1,93520.5996,0.6828931,1,15,0,0,0,29122.912,0,2.5,1,0,0,1,0,0,0,0,0,1,0,1,66129.05015779192
0509091,2,5,4,8,2,61260.0004,0.8072482,1,14,0,0,0,26588.061,0,1.6,0,0,0,0,0,0,0,0,1,0,0,1,27396.30503921286
0509103,4,1,8,3,1,34221,0.4579641,2,16,0,0,0,45336.018,0,3,0,0,0,1,0,0,0,0,0,1,1,0,34221
0509106,1,5,3,5,2,67826,0.6999917,1,15,0,0,0,73756.444,0,1,0,0,0,1,0,0,0,1,0,0,0,1,30332.709328380144
0509109,4,1,8,3,1,30341.0004,0.414291,1,12,0,0,0,26788.678,0,3,0,0,0,0,0,0,0,0,0,1,0,1,30341.0004
0509111,1,4,9,8,2,80609.8004,0.7176162,1,12,0,0,0,30429.029,0,2,0,0,0,0,0,0,0,1,0,0,0,1,40304.9002
0509112,4,3,4,4,2,61593.0004,0.5297623,1,12,0,12000,5400,28421.198,1,1.3333333333333333,0,0,0,0,1,0,1,0,0,1,0,1,35560.73536113673
0509117,1,2,1,8,1,78608.6004,0.8132731,1,14,0,0,0,5059.731,0,4,1,0,0,0,0,0,0,1,0,0,0,1,55584.674402423545
0509121,2,1,8,6,2,21955,0.5387319,1,15,0,0,0,19918.595,0,6,0,0,0,1,0,0,0,0,1,0,0,1,21955
0509129,2,7,4,6,2,69874.9996,0.6812442,1,13,0,0,0,46221.005,1,0.8571428571428571,0,0,0,0,0,0,0,0,1,0,0,1,26410.26740033396
0509130,1,2,1,5,3,258182.0004,0.7880823,6,15,0,0,0,5954.462,0,2.5,1,0,0,1,0,0,0,1,0,0,0,0,182562.24326314792
0509132,2,5,5,10,2,75904.9996,0.867853,2,15,0,0,0,41844.633,0,2,0,0,0,1,0,0,0,0,1,0,1,0,33945.747787538865
0509136,1,2,1,4,1,32523.3996,0.4307788,1,15,0,0,0,16186.321,0,2,1,0,0,1,0,0,0,1,0,0,0,1,22997.516404399845
0509140,2,1,8,7,2,110116,0.9274864,2,14,0,0,0,27207.777,0,7,0,0,0,0,0,0,0,0,1,0,1,0,110116
